AMELIA,5158
OLIVIA,4853
EMILY,3893
ISLA,3474
AVA,3414
ELLA,3028
JESSICA,2937
ISABELLA,2876
MIA,2842
POPPY,2816
SOPHIE,2779
SOPHIA,2744
LILY,2711
GRACE,2658
EVIE,2529
SCARLETT,2285
RUBY,2215
CHLOE,2158
ISABELLE,2119
DAISY,2113
FREYA,2090
PHOEBE,2081
FLORENCE,2053
ALICE,2006
CHARLOTTE,1951
SIENNA,1941
MATILDA,1774
EVELYN,1770
EVA,1753
MILLIE,1673
SOFIA,1640
LUCY,1525
ELSIE,1513
IMOGEN,1478
LAYLA,1428
ROSIE,1403
MAYA,1354
ESME,1340
ELIZABETH,1338
LOLA,1322
WILLOW,1308
IVY,1275
ERIN,1249
HOLLY,1248
EMILIA,1243
MOLLY,1215
ELLIE,1185
JASMINE,1182
ELIZA,1171
LILLY,1146
ABIGAIL,1131
GEORGIA,1115
MAISIE,1113
ELEANOR,1105
HANNAH,1090
HARRIET,1089
AMBER,1085
BELLA,1020
THEA,1020
ANNABELLE,1017
EMMA,1017
AMELIE,992
HARPER,980
GRACIE,944
ROSE,926
SUMMER,906
MARTHA,868
VIOLET,854
PENELOPE,832
ANNA,825
NANCY,817
ZARA,799
MARIA,768
DARCIE,759
MARYAM,754
MEGAN,739
DARCEY,737
LOTTIE,712
MILA,692
HEIDI,683
LEXI,678
LACEY,676
FRANCESCA,661
ROBYN,650
BETHANY,648
JULIA,640
SARA,612
AISHA,610
DARCY,606
ZOE,606
CLARA,605
VICTORIA,604
BEATRICE,601
HOLLIE,589
ARABELLA,585
SARAH,581
MADDISON,577
LEAH,575
KATIE,565
ARIA,562
ELOISE,559
IRIS,558
LYDIA,550
FAITH,549
MOLLIE,544
ORLA,539
BROOKE,537
PAIGE,531
NIAMH,525
ISABEL,518
FELICITY,517
MADISON,517
ISOBEL,516
MYA,515
SKYE,502
ALEXANDRA,500
AMY,497
FATIMA,495
ANNIE,492
BONNIE,482
LYLA,481
EDITH,480
ARIANA,476
ESMAE,463
LARA,462
NEVAEH,456
ANAYA,452
TILLY,449
SAVANNAH,447
LUNA,439
EDEN,432
SEREN,428
AALIYAH,426
LENA,421
BETSY,420
AURORA,417
GABRIELLA,417
PIPPA,406
SKYLA,401
REBECCA,398
ALEXIS,397
ZAINAB,392
AYLA,390
HOPE,381
LAURA,380
ELENA,379
FRANKIE,376
AUTUMN,368
ZAHRA,361
EDIE,358
LILLIE,358
LOIS,357
CONNIE,356
ANNABEL,352
ESTHER,352
HANNA,347
NATALIA,346
NAOMI,344
KEIRA,341
CAITLIN,340
EVE,338
ELODIE,336
NICOLE,336
ZUZANNA,333
AMAYA,332
DELILAH,330
AOIFE,325
MARNIE,322
INAAYA,320
LILIANA,320
LIBBY,318
ANYA,316
MADELEINE,315
MAJA,315
ALEXA,314
OLIVE,312
LEILA,311
LAILA,307
ALICIA,306
LAUREN,304
LUCIA,303
MYLA,302
PENNY,301
ROSA,301
ESMEE,300
KHADIJA,294
ADA,293
AMINA,293
SADIE,292
ALYSSA,291
ELISE,289
ALIZA,280
ARYA,280
APRIL,278
EMELIA,275
AYESHA,274
MARIAM,274
TABITHA,274
ALISHA,272
ALEENA,271
ELLA-ROSE,269
INDIA,268
KHADIJAH,267
NINA,267
MAGGIE,263
HALLIE,262
AIZAH,258
BEATRIX,258
SKYLAR,258
AMELIA-ROSE,257
AMIRA,257
GEORGINA,257
JEMIMA,255
